iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
175363,170157.17,-6.21,5.57,0.96,-129.88,-144.75,-20.43,7.28,4.04,-1.50
178416,212084.13,-230.61,139.89,98.16,105.71,-47.72,-54.08,2.43,4.62,-4.81
178442,212084.13,-219.32,187.36,58.89,90.45,-62.67,-40.86,2.49,4.68,-5.13
178978,212084.13,-189.08,144.48,123.59,107.53,-51.62,-57.55,2.64,4.81,-6.28
178992,212084.13,-174.70,157.83,106.81,101.86,-67.22,-53.53,2.64,4.81,-5.80
179011,212084.13,-213.76,150.02,123.36,101.81,-50.32,-58.45,2.69,4.70,-6.07
179100,212084.13,-221.54,149.41,151.00,102.26,-39.60,-50.81,2.66,4.79,-6.52
179101,212084.13,-209.74,156.52,151.64,110.13,-36.18,-48.43,2.65,4.87,-7.33
179108,212084.13,-199.07,149.08,142.23,107.76,-47.09,-54.69,2.64,4.87,-7.31
179110,212084.13,-192.61,148.67,146.17,109.75,-47.84,-51.33,2.65,4.84,-6.85
179136,212084.13,-178.66,144.71,119.78,103.65,-54.83,-59.10,2.64,4.81,-5.83
179154,212084.13,-221.70,168.14,133.83,105.47,-40.34,-47.84,2.76,4.94,-5.98
179190,212084.13,-237.98,168.79,25.70,82.07,-77.97,-45.03,2.25,4.73,-5.80
179194,212084.13,-219.71,161.06,136.48,99.95,-41.20,-52.14,2.76,4.87,-5.97
179269,212084.13,-239.95,135.12,-77.81,72.26,-71.90,-58.53,2.12,4.82,-5.34
179395,212084.13,-233.36,99.32,-92.70,82.83,-86.53,-50.79,2.07,4.67,-4.63
179407,212084.13,-214.58,204.61,51.83,87.47,-66.32,-49.11,2.40,4.70,-5.91
179448,212084.13,-200.78,176.20,117.77,99.29,-53.18,-45.67,2.53,4.79,-5.78
181419,186634.35,-6.43,5.26,1.66,-126.37,-113.16,-26.86,6.58,5.79,-1.50
182609,212084.13,-227.86,165.20,21.56,82.36,-75.07,-51.09,2.31,4.68,-5.59
185103,213346.90,2.89,12.95,0.66,-127.53,56.17,-7.88,5.45,5.95,-2.25
186046,212084.13,-235.97,187.20,41.25,95.02,-61.66,-45.01,2.43,4.78,-4.89
187416,124615.98,0.62,7.62,0.29,-203.75,-47.01,-8.90,7.34,4.02,-1.56
190605,212084.13,-220.66,110.97,133.17,114.73,-20.38,-45.94,2.52,4.94,-4.76
197199,212084.13,-208.14,119.33,161.84,110.44,-38.72,-48.19,2.43,5.00,-6.14
199817,212084.13,-196.21,126.67,135.69,110.05,-47.17,-60.92,2.49,4.86,-5.16
199841,212084.13,-172.90,112.58,183.05,121.11,-33.54,-44.65,2.30,4.91,-5.63
199898,85512.89,-4.71,7.93,-0.92,-198.67,-48.37,-7.60,7.01,5.51,-1.51
200058,212084.13,-222.07,140.35,157.05,100.24,-35.56,-47.21,2.57,4.89,-5.41
203283,213504.96,-5.78,5.54,-4.82,-100.56,-67.65,8.80,5.60,6.13,-2.13
203777,212084.13,-177.94,143.53,191.11,111.46,-35.71,-40.54,2.65,4.75,-6.42
204090,212084.13,-184.21,129.08,159.50,114.00,-38.74,-51.39,2.52,4.82,-6.88
206663,146007.82,-2.60,4.73,0.53,-239.77,-147.23,81.86,6.88,6.55,-1.46
206713,205777.23,3.85,-5.22,-0.97,207.31,139.90,-24.23,7.28,4.04,-1.46
207541,213829.87,9.46,-2.02,-2.07,41.29,122.64,-3.35,5.78,6.02,-1.60
209772,215494.75,25.34,-61.23,92.75,35.39,38.05,-13.39,3.74,5.12,-2.37
212655,238113.27,6.15,-4.50,-0.93,169.73,178.31,9.32,7.90,4.01,-1.52
212784,213015.90,-2.52,-9.91,-3.60,113.52,-53.98,-5.58,5.59,6.03,-2.07
212884,212817.72,13.76,0.88,-0.67,-17.13,128.08,3.92,5.42,5.99,-2.26
213597,212084.13,-173.43,157.75,142.67,91.43,-37.99,-52.87,2.63,4.87,-4.87
213899,112788.06,5.18,10.01,-1.97,-100.60,73.87,-2.91,5.56,5.92,-1.88
213958,164910.62,11.75,8.03,-6.07,-66.03,85.41,28.11,5.21,5.92,-2.23
214367,213040.19,26.57,-31.50,59.10,33.04,58.38,-77.85,4.35,4.28,-2.51
216185,217464.66,5.34,3.04,-0.30,-102.48,218.78,-16.47,7.65,4.02,-1.61
216642,143012.75,-1.66,-2.95,2.54,157.91,-92.94,-9.06,5.95,6.22,-1.37
217287,151464.29,-4.38,-2.92,-0.33,138.76,-160.68,57.36,7.91,4.00,-1.46
217392,149708.17,-6.40,-4.12,0.55,132.51,-126.23,-33.44,6.73,4.09,-1.70
218378,125443.33,-11.36,5.44,3.11,-32.46,-97.46,-6.35,5.47,6.09,-1.82
219842,88863.76,-0.22,-6.12,1.32,287.65,-19.50,82.44,6.71,5.94,-1.53
219860,212084.13,-210.97,154.99,119.66,106.13,-49.72,-55.51,2.71,4.58,-5.12
219879,212772.31,-6.01,-9.27,-2.59,123.73,-43.61,24.29,5.56,6.06,-2.12
221102,213088.96,3.96,11.45,4.37,-131.04,68.16,-9.83,5.64,5.89,-2.07
222582,115038.63,6.56,-3.06,-1.36,91.17,201.76,46.03,7.28,4.04,-1.49
223739,89608.70,-1.17,7.88,2.25,-158.81,-13.56,-17.12,6.26,6.04,-1.58
224863,226747.26,10.86,-5.01,2.33,42.86,131.85,29.66,5.62,6.09,-2.20
225571,215908.61,25.34,-24.98,59.82,33.08,53.45,-97.27,4.39,4.27,-2.49
227071,212084.13,-210.85,152.70,127.73,107.38,-53.24,-47.35,2.74,4.67,-4.90
228674,213350.44,-10.13,7.10,-8.72,-35.42,-81.59,13.34,5.27,6.07,-2.16
229051,155031.95,0.64,5.24,0.04,-253.74,69.48,3.05,7.75,4.02,-1.55
229257,136445.30,-4.50,-2.47,0.50,121.24,-208.16,3.95,8.02,4.88,-1.42
230788,158662.32,6.96,6.35,0.88,-64.38,157.47,-59.44,5.76,6.21,-2.12
