iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
## UNITS
NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,log(Msol kpc**-3),log(NoUnit()),log(NoUnit())
## MAX
806598,217782.67,27.90,-51.87,102.52,3.87,31.11,-73.26,4.91,4.07,-2.46
817505,212126.53,87.41,245.39,-3.19,-42.66,-135.05,-2.14,2.20,4.92,-5.79
824926,212084.13,219.09,-135.72,-59.01,-26.44,11.36,141.53,2.59,4.92,-4.51
825068,212084.13,215.24,-135.82,-58.90,-23.00,24.46,147.93,2.61,4.97,-4.69
826727,212084.13,180.26,-162.75,-89.58,-25.72,9.77,158.65,2.56,4.99,-4.34
826731,212084.13,170.34,-152.61,-122.14,-32.08,0.10,141.48,2.45,4.96,-4.76
844069,212084.13,130.94,-215.72,-58.87,-45.50,111.67,94.55,2.39,4.84,-5.69
850559,76695.75,7.75,-6.35,0.71,75.99,160.92,0.54,7.15,4.03,-1.75
852975,223780.07,-2.07,9.79,-0.97,-145.54,-130.07,-38.76,7.27,4.04,-1.78
856669,173632.10,-3.30,9.84,0.11,-144.13,-64.27,8.52,6.41,4.10,-1.54
859824,213203.69,-10.77,-0.47,2.27,80.57,-157.31,-2.03,5.89,4.05,-2.11
861962,115020.24,6.45,3.75,-4.33,-84.23,54.45,80.41,6.41,4.08,-1.49
861977,169781.49,3.25,-9.80,-0.12,139.99,89.37,50.68,6.17,4.12,-1.89
862939,222008.70,0.49,-10.12,-0.10,224.88,3.95,-11.75,6.62,4.08,-1.75
863908,110520.39,-4.10,10.41,-2.28,-143.32,-89.47,-8.29,6.08,4.05,-1.62
864716,212084.13,-121.66,120.34,119.80,102.37,-115.15,-56.93,2.76,4.98,-5.32
866509,199887.46,-1.97,9.99,-0.72,-186.68,-89.31,-7.63,7.31,4.03,-1.55
871380,216644.36,1.85,10.67,0.56,-173.62,-18.85,-0.99,6.99,4.03,-1.60
871858,218881.03,-10.83,-1.09,-0.68,74.21,-197.20,24.26,6.10,4.09,-1.76
873740,212084.13,-203.02,149.05,-13.74,66.56,-116.38,-54.42,2.35,4.99,-5.44
873841,212084.13,-197.18,156.40,23.37,85.84,-112.21,-42.36,2.44,4.89,-5.61
873925,212084.13,-206.94,156.92,-30.11,61.52,-117.42,-65.13,2.07,4.92,-6.07
874804,221206.55,-1.88,10.47,-0.80,-222.03,-71.31,17.54,6.87,4.05,-1.80
877422,127033.89,5.21,9.80,-0.23,-176.47,48.37,13.21,6.93,4.05,-1.54
881587,188813.25,2.72,10.97,0.66,-176.54,40.35,-25.60,6.80,4.05,-1.54
882694,136536.71,7.52,7.08,0.52,-163.86,89.38,-25.84,6.70,4.08,-1.57
884016,120890.14,0.17,11.54,-2.80,-165.18,-8.70,-30.78,6.06,4.06,-1.49
887422,212084.13,-192.02,165.54,-28.11,20.60,-110.68,-55.76,2.23,4.99,-5.34
890128,77244.89,-0.55,10.33,-0.64,-185.72,-4.41,76.03,6.55,4.08,-1.56
890476,112865.05,12.32,7.02,-0.83,-48.01,55.96,-4.74,5.31,4.15,-1.80
891731,212084.13,-202.18,147.07,-47.20,17.02,-111.38,-49.20,2.21,4.99,-5.45
893201,111719.95,34.00,-13.29,32.00,-20.92,63.88,-175.16,5.19,4.03,-2.49
893760,128285.43,5.81,10.33,0.39,-116.26,47.39,-6.13,6.40,4.08,-1.54
