iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,log(Msol kpc**-3),log(NoUnit()),log(NoUnit())
1517250,288842.43,238.17,238.17,238.17,153.62,153.62,153.62,1306788.04,99966.77,0.01
57475,86963.64,-231.21,-231.21,-231.21,-216.60,-216.60,-216.60,126.03,10022.23,0.00
57475,212084.13,197.91,58.19,-90.67,-142.44,-10.38,2.58,2.82,4.97,-4.89
59897,212084.13,194.17,92.88,-100.33,-149.79,-7.06,26.86,2.51,4.81,-4.83
60010,212084.13,208.02,-4.52,85.04,-27.85,-16.63,-8.07,2.35,4.98,-3.22
60398,212084.13,193.34,111.50,-76.15,-139.53,-15.91,-1.15,2.47,4.93,-5.90
61640,212089.63,141.72,6.00,-113.32,-134.66,-6.84,10.89,3.13,4.99,-4.81
61934,212084.13,196.70,103.33,-85.24,-137.29,-7.84,15.58,2.58,4.94,-5.69
70955,212084.13,193.21,136.32,-25.28,-143.73,-54.70,41.90,2.51,4.90,-4.61
71001,212084.13,151.06,125.99,-50.31,-158.40,-34.42,27.75,2.79,4.86,-4.75
81845,212084.13,201.97,122.12,-36.37,-110.56,-63.40,7.38,2.45,4.99,-4.25
85519,212084.13,187.73,121.59,-66.78,-159.00,-15.77,14.53,2.57,4.92,-4.90
88873,212084.13,160.69,126.25,-55.34,-168.19,-17.26,38.15,2.69,4.85,-5.07
89125,212084.13,53.90,111.76,-0.95,-174.73,-85.02,30.79,4.21,4.68,-2.85
89400,212084.13,22.96,123.43,-19.03,-166.62,-71.63,56.11,3.62,5.00,-3.19
89409,212084.13,206.31,76.29,-99.94,-135.91,-5.06,22.86,2.69,4.98,-4.54
96805,212084.13,174.49,121.38,-78.79,-149.46,-7.50,16.13,2.50,4.78,-5.49
101412,212084.13,169.32,113.50,-87.84,-143.54,1.58,25.35,2.55,4.98,-4.90
113528,212464.36,-0.52,27.35,17.75,-3.40,-43.09,-2.10,4.30,4.28,-2.45
114260,212084.13,154.17,116.35,-60.35,-163.67,-20.67,18.59,2.55,4.95,-5.18
