iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
8187,212084.13,-162.62,133.51,162.58,113.17,-73.21,-57.95,2.52,4.69,-5.66
8197,212084.13,-135.17,111.81,114.35,126.74,-87.72,-79.48,2.57,4.70,-6.56
8206,212084.13,-116.50,115.50,156.28,88.28,-97.87,-62.62,2.74,4.85,-5.36
9471,212084.13,-111.76,113.33,161.69,87.84,-101.56,-71.63,2.84,4.87,-5.37
9476,212084.13,-156.50,128.11,163.84,117.93,-76.03,-60.93,2.53,4.59,-6.62
12937,212084.13,-157.35,64.75,170.74,117.35,-47.10,-32.32,2.43,4.92,-5.61
13175,212084.13,-143.23,35.96,194.46,119.28,-67.37,-43.33,2.57,4.92,-5.76
14888,212084.13,-177.01,73.65,186.94,115.92,-72.43,-37.35,2.17,4.73,-5.94
15293,212084.13,-136.74,46.45,203.58,119.55,-77.81,-65.95,2.30,4.59,-5.84
15335,212084.13,-127.56,86.69,174.76,124.60,-73.49,-73.98,2.32,4.53,-6.62
15531,212084.13,-133.39,75.14,173.14,120.98,-60.78,-55.45,2.45,4.78,-6.79
17019,212084.13,-167.09,80.93,181.92,118.06,-74.39,-44.15,2.28,4.70,-6.40
17036,212084.13,-158.02,64.70,195.51,111.77,-69.78,-48.67,2.32,4.62,-5.77
17432,212084.13,-147.51,60.07,203.23,115.20,-72.89,-61.57,2.26,4.53,-6.29
17440,212084.13,-115.94,29.17,198.60,122.94,-57.12,-45.74,2.66,4.99,-5.57
17450,212084.13,-157.95,87.32,186.51,109.00,-71.27,-54.89,2.26,4.54,-6.70
17451,212084.13,-148.53,53.81,192.76,115.61,-67.58,-44.12,2.42,4.75,-6.49
17489,212084.13,-139.33,51.88,193.88,121.39,-70.72,-50.27,2.46,4.69,-6.71
17706,212084.13,-153.10,72.73,172.25,119.06,-67.45,-43.97,2.37,4.81,-6.43
18763,212084.13,-168.81,63.29,192.35,108.20,-72.89,-46.70,2.25,4.67,-6.66
18767,212084.13,-134.40,54.49,194.99,120.60,-74.50,-57.36,2.40,4.68,-6.21
18770,212084.13,-149.38,65.69,197.35,115.52,-72.52,-53.82,2.30,4.55,-6.54
18940,212084.13,-127.92,72.58,177.69,120.54,-64.74,-58.21,2.49,4.73,-6.71
18985,212084.13,-166.73,69.52,182.14,117.82,-71.66,-43.55,2.31,4.78,-6.34
18995,212084.13,-159.01,94.96,164.78,120.87,-70.40,-63.22,2.33,4.70,-6.33
19192,212084.13,-188.46,110.81,152.69,113.47,-69.77,-57.12,2.45,4.76,-5.31
19196,212084.13,-133.78,59.21,186.27,121.53,-59.52,-41.98,2.49,4.84,-6.34
19207,212084.13,-174.02,84.16,171.65,120.05,-76.24,-41.05,2.24,4.75,-5.49
23676,212084.13,-179.45,123.95,110.44,106.59,-86.64,-80.81,2.57,4.60,-6.34
23684,212084.13,-163.73,128.66,79.10,121.69,-83.76,-70.11,2.63,4.68,-6.01
23947,212084.13,-117.26,87.87,178.62,123.96,-77.84,-72.70,2.23,4.71,-5.53
25397,212084.13,-158.65,145.28,85.98,107.06,-91.24,-69.50,2.73,4.68,-6.62
25619,212084.13,-166.79,93.89,183.34,116.62,-67.91,-59.85,2.36,4.69,-6.16
25622,212084.13,-183.11,116.75,109.66,111.01,-79.96,-78.92,2.57,4.62,-6.06
25639,212084.13,-187.98,130.33,99.04,110.39,-83.98,-74.52,2.49,4.53,-6.05
27076,212084.13,-171.62,129.85,79.01,119.21,-80.40,-66.70,2.61,4.64,-5.60
27540,212084.13,-188.87,132.21,118.19,105.92,-76.18,-75.84,2.54,4.59,-5.98
27594,212084.13,-178.69,159.73,87.18,113.55,-87.83,-67.32,2.49,4.52,-6.22
28045,212084.13,-179.40,188.35,53.86,86.59,-104.26,-50.09,2.54,4.60,-6.11
29282,212084.13,-192.60,140.71,85.90,108.08,-83.74,-68.91,2.41,4.51,-5.63
29520,212084.13,-134.40,71.45,185.77,119.48,-71.04,-66.39,2.33,4.62,-6.03
29544,212084.13,-185.41,164.67,100.18,115.30,-87.27,-64.24,2.62,4.55,-5.97
30229,212084.13,-184.94,140.35,103.32,113.49,-90.82,-75.10,2.54,4.56,-6.00
31007,212084.13,-156.24,48.71,197.88,119.80,-70.73,-49.61,2.39,4.74,-5.94
31183,212084.13,-155.80,39.03,192.76,123.43,-55.42,-36.57,2.47,4.97,-5.02
31189,212084.13,-140.17,29.87,204.20,112.83,-60.96,-55.40,2.36,4.95,-4.77
31396,212084.13,-175.29,151.34,56.55,99.85,-67.50,-40.04,2.54,4.80,-5.44
31597,212084.13,-151.11,101.33,105.57,124.94,-67.87,-75.14,2.62,4.80,-5.13
31623,212084.13,-171.27,153.12,44.12,99.40,-97.49,-53.05,2.67,4.74,-6.02
