iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
8187,212084.13,-206.82,145.69,170.23,113.40,-39.48,-43.12,2.61,4.76,-5.71
8197,212084.13,-181.42,130.39,135.11,112.70,-45.52,-60.77,2.62,4.73,-6.61
8206,212084.13,-161.29,133.85,169.94,116.60,-39.75,-48.37,2.56,4.62,-7.34
9471,212084.13,-156.43,132.46,174.99,117.76,-40.78,-45.44,2.54,4.60,-6.89
9476,212084.13,-200.22,140.69,173.68,108.06,-36.25,-47.52,2.64,4.67,-6.67
12937,212084.13,-200.87,83.44,173.51,116.85,-55.73,-30.44,2.33,4.73,-5.87
13175,212084.13,-186.34,58.56,201.81,108.71,-54.07,-41.54,2.37,4.70,-6.24
14888,212084.13,-217.37,91.08,183.33,101.87,-49.24,-15.32,2.42,4.91,-6.00
15293,212084.13,-180.25,69.75,210.83,107.36,-54.98,-37.78,2.30,4.59,-5.99
15335,212084.13,-175.51,103.13,187.27,117.84,-38.93,-44.88,2.42,4.59,-6.74
15531,212084.13,-181.79,92.68,182.80,120.80,-43.19,-39.02,2.41,4.67,-7.30
17019,212084.13,-210.14,98.70,182.03,113.46,-47.09,-23.16,2.40,4.78,-6.46
17036,212084.13,-199.47,82.31,198.67,109.18,-44.69,-33.24,2.40,4.67,-5.75
17432,212084.13,-190.38,79.74,208.88,110.64,-48.92,-34.32,2.37,4.59,-6.42
17440,212084.13,-165.19,49.89,209.03,120.30,-52.16,-46.53,2.26,4.62,-6.01
17450,212084.13,-197.65,102.25,191.79,105.76,-38.15,-37.36,2.42,4.65,-6.78
17451,212084.13,-190.40,73.86,197.17,107.72,-48.85,-34.53,2.35,4.66,-6.75
17489,212084.13,-183.23,73.08,199.50,108.42,-50.07,-34.18,2.39,4.60,-7.21
17706,212084.13,-198.59,91.31,174.78,114.09,-45.85,-27.22,2.39,4.79,-6.56
18763,212084.13,-207.79,82.93,194.36,104.80,-50.57,-29.39,2.35,4.73,-6.80
18767,212084.13,-179.76,75.91,203.37,111.59,-49.39,-40.07,2.37,4.58,-6.54
18770,212084.13,-191.28,84.75,202.58,106.59,-47.66,-38.83,2.39,4.60,-6.70
18940,212084.13,-175.36,90.15,187.72,118.47,-41.16,-39.88,2.42,4.61,-7.23
18985,212084.13,-208.00,89.07,182.70,106.23,-50.94,-24.02,2.38,4.80,-6.44
18995,212084.13,-201.90,108.25,173.66,110.90,-34.00,-39.50,2.43,4.76,-6.38
19192,212084.13,-227.25,122.83,161.65,102.63,-35.18,-43.90,2.53,4.81,-5.43
19196,212084.13,-180.58,77.85,193.01,115.61,-47.15,-39.41,2.36,4.65,-6.96
19207,212084.13,-214.67,100.86,171.24,103.44,-43.68,-22.08,2.36,4.81,-5.64
23676,212084.13,-216.89,142.16,131.18,101.98,-48.38,-59.19,2.67,4.65,-6.38
