iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
54772,212084.27,110.23,155.28,-134.63,-80.40,-6.57,69.71,2.96,5.10,-5.34
59716,212084.13,182.42,199.01,-46.51,-93.18,-41.07,65.23,2.77,4.92,-5.33
59897,212084.13,183.48,199.35,-52.16,-90.16,-52.02,69.66,2.80,5.01,-4.87
60010,212084.13,207.08,-7.74,-77.08,-2.01,5.96,24.76,2.38,4.96,-3.23
60114,212084.13,176.62,195.67,-51.11,-95.37,-58.04,54.37,2.77,4.90,-4.88
60398,212084.13,197.12,184.18,-22.78,-101.72,-57.32,47.38,2.52,4.88,-6.30
60666,212084.13,180.64,201.91,-35.68,-100.12,-46.04,77.51,2.70,4.95,-5.70
61640,212089.53,111.08,153.08,-104.63,-94.23,-31.84,67.49,3.13,5.05,-4.98
61641,212089.54,111.07,153.08,-104.62,-94.32,-31.90,67.55,3.13,5.05,-4.98
61677,212089.54,111.07,153.08,-104.63,-94.24,-31.82,67.48,3.13,5.05,-4.98
61934,212084.13,188.57,191.71,-35.93,-74.67,-60.05,44.16,2.62,4.93,-5.76
62104,212084.13,191.29,193.52,-28.85,-90.50,-50.06,48.26,2.63,4.91,-6.50
71001,212084.13,187.39,165.91,6.91,-114.54,-76.30,56.84,2.78,4.87,-4.97
71031,212084.13,187.45,142.91,23.79,-113.96,-82.26,54.61,2.74,4.87,-4.32
71229,212084.13,198.45,190.09,-18.11,-89.77,-65.03,51.92,2.59,4.90,-5.96
77894,212084.13,184.53,190.30,-9.26,-106.90,-65.39,63.24,2.58,4.82,-4.96
81255,212084.13,202.04,175.49,-11.99,-126.46,-50.36,49.49,2.50,4.94,-5.04
81359,212084.13,193.52,184.31,-4.58,-89.78,-72.37,65.18,2.58,4.89,-5.25
85025,212084.13,167.00,187.49,-8.85,-104.69,-61.70,73.91,2.49,4.79,-4.94
85276,212084.13,178.20,183.64,-3.18,-88.52,-58.57,71.42,2.57,4.84,-5.37
85505,212084.13,211.29,169.26,1.58,-110.60,-76.45,48.16,2.63,4.89,-4.86
85519,212084.13,204.23,185.39,-13.53,-104.02,-73.75,46.42,2.60,4.89,-5.03
88873,212084.13,189.73,171.55,0.52,-110.77,-71.95,50.33,2.71,4.85,-5.26
88923,212084.13,171.98,189.29,-0.88,-104.71,-51.77,82.62,2.59,4.77,-5.16
89114,212084.13,178.82,191.49,-6.91,-99.60,-58.97,80.36,2.56,4.86,-4.83
