iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
54772,212084.58,160.72,-17.81,-131.72,-128.92,28.02,-24.12,2.74,4.99,-4.89
59716,212084.13,190.58,100.93,-103.18,-152.14,2.00,20.95,2.51,4.77,-5.23
59897,212084.13,194.17,92.88,-100.33,-149.79,-7.06,26.86,2.51,4.81,-4.83
60010,212084.13,208.02,-4.52,85.04,-27.85,-16.63,-8.07,2.35,4.98,-3.22
60114,212084.13,186.64,88.37,-99.30,-146.60,9.76,32.09,2.70,4.88,-4.72
60398,212084.13,193.34,111.50,-76.15,-139.53,-15.91,-1.15,2.47,4.93,-5.90
60666,212084.13,183.30,113.19,-100.80,-147.66,3.94,22.99,2.35,4.73,-5.57
61640,212089.63,141.72,6.00,-113.32,-134.66,-6.84,10.89,3.13,4.99,-4.81
61641,212089.64,141.73,5.99,-113.31,-134.62,-6.83,10.84,3.13,4.99,-4.81
61677,212089.63,141.72,6.00,-113.31,-134.69,-6.84,10.89,3.13,4.99,-4.81
61934,212084.13,196.70,103.33,-85.24,-137.29,-7.84,15.58,2.58,4.94,-5.69
62104,212084.13,190.33,108.48,-87.70,-155.35,-16.02,11.08,2.54,4.87,-6.11
71001,212084.13,151.06,125.99,-50.31,-158.40,-34.42,27.75,2.79,4.86,-4.75
71031,212084.13,136.22,129.26,-24.94,-159.15,-37.42,27.91,2.77,4.89,-4.01
71229,212084.13,190.79,122.11,-74.17,-152.56,-7.63,18.06,2.54,4.88,-5.51
77894,212084.13,168.73,126.29,-79.57,-152.78,-12.48,24.72,2.52,4.79,-4.96
81255,212084.13,177.55,119.46,-66.31,-164.47,-10.39,2.30,2.55,5.00,-4.99
81359,212084.13,177.21,130.18,-62.64,-146.93,-22.34,35.46,2.63,4.96,-4.97
85025,212084.13,151.41,125.08,-84.20,-136.04,10.25,39.90,2.72,4.98,-4.87
85276,212084.13,162.21,129.26,-73.88,-151.08,-15.20,24.98,2.58,4.86,-5.24
85505,212084.13,177.44,125.31,-42.85,-165.61,-29.19,35.64,2.63,4.91,-4.74
85519,212084.13,187.73,121.59,-66.78,-159.00,-15.77,14.53,2.57,4.92,-4.90
88873,212084.13,160.69,126.25,-55.34,-168.19,-17.26,38.15,2.69,4.85,-5.07
88923,212084.13,152.48,132.90,-82.17,-146.24,-15.98,39.67,2.64,4.82,-5.06
89114,212084.13,161.09,131.61,-81.98,-160.28,-10.55,29.76,2.54,4.84,-4.82
89400,212084.13,22.96,123.43,-19.03,-166.62,-71.63,56.11,3.62,5.00,-3.19
89409,212084.13,206.31,76.29,-99.94,-135.91,-5.06,22.86,2.69,4.98,-4.54
