iords mass x y z vx vy vz rho temp metals
NoUnit() Msol kpc kpc kpc "km s**-1" "km s**-1" "km s**-1" "Msol kpc**-3" K NoUnit()
[240674] "[ 212084.12783863]" -9.11142758393 94.2658938532 -100.287226594 4.94431697592 -34.4850377657 34.5720010598 "[ 12633.79560856]" "[ 9679.54980469]" "[  2.28583367e-27]"
