time,redshift,iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
Gyr,NoUnit(),NoUnit(),Msol,kpc*a,kpc*a,kpc*a,km s**-1*a,km s**-1*a,km s**-1*a,Msol kpc**-3,K,NoUnit()
0.448,10.429,240674,212084.128,4.414,9.288,-5.688,-2.018,-4.727,2.502,14331.311,9446.795,0.000
0.475,9.993,240674,212084.128,-0.829,8.575,-9.123,0.450,-3.137,3.145,12633.796,9679.550,0.000
0.643,7.979,240674,212084.128,-13.627,9.986,6.805,3.943,-4.133,0.867,7171.370,10448.347,0.000
0.879,6.290,240674,212084.128,-14.402,8.347,19.267,6.216,-4.188,-4.312,6676.177,13851.965,0.000
0.936,5.990,240674,212084.128,-17.038,-0.242,21.129,8.024,-0.936,-7.081,6911.336,15004.606,0.000
1.310,4.584,240674,212084.128,-21.843,-14.311,26.571,13.415,4.713,-10.135,11217.667,26356.494,0.000
1.740,3.614,240674,212084.128,16.062,28.090,29.502,-7.128,-7.024,-10.906,136660.767,14306.907,0.000
2.171,2.976,240674,212204.342,-25.216,16.699,48.055,2.459,13.417,-21.102,350391.322,14381.673,0.001
2.602,2.518,240674,219286.753,-12.402,22.039,49.429,20.520,-20.603,-7.386,13848388.203,11002.470,0.004
3.032,2.170,240674,225222.292,-39.778,38.527,35.198,25.828,-30.662,-5.162,7472.144,106696.898,0.004
3.288,2.000,240674,225222.292,-42.839,43.091,14.060,23.129,-38.481,-7.565,7513.262,91359.352,0.004
3.463,1.895,240674,225222.292,20.928,-25.602,48.599,46.650,-6.019,-34.704,7359.105,70615.492,0.003
3.894,1.670,240674,225222.292,7.521,42.218,24.662,14.751,-23.232,15.566,7403.793,75190.688,0.003
