# timestep, redshift
#0345
#0384
#0454
#0512
#0635
0640,2.98
0768,2.52
0896,2.17
0972,2.00
1024,1.90
1152,1.67
1280,1.48
1408,1.32
1536,1.18
1664,1.06
1739,1.00
1792,0.96
1920,0.86
2048,0.77
2176,0.70
2304,0.62
2432,0.56
2554,0.50
2560,0.50
2688,0.44
2816,0.39
2944,0.34
3072,0.29
3195,0.25
3200,0.25
3328,0.21
3456,0.17
3584,0.13
3712,0.10
3840,0.06
3968,0.03
4096,0.00
